Design Option,Database,Impact Category,Mean,STD,COV,Min,Max,95th Percentile,Median,Unit
base_design,ecoinvent,gwp_total,4252014.889205274,335471.2058253159,0.07889699696889288,3350302.2654998153,5478784.587431288,4854402.707345851,4228032.098827401,kgCO2eq/FU
base_design,ecoinvent,gwp_fossil,4243702.104078222,339016.9022559897,0.07988706415801254,3249348.0266330065,5586320.324847905,4818876.825604346,4221528.02731762,kgCO2eq/FU
base_design,ecoinvent,gwp_biogenic,-3057.2337140915706,4235.040479168693,1.3852524455844872,-18718.323356920442,10728.65946988893,3925.670484043182,-3211.7532167758745,kgCO2eq/FU
base_design,ecoinvent,gwp_luluc,1798.534509808384,140.71494670527835,0.07823866928206462,1414.6066015584163,2296.462678847108,2031.0091193687424,1791.234946317251,kgCO2eq/FU
alternative_design1,ecoinvent,gwp_total,3110553.6112263203,290563.42576983356,0.09341212597048934,2351133.4277190473,4485547.657949038,3621372.185472688,3083040.2860962874,kgCO2eq/FU
alternative_design1,ecoinvent,gwp_fossil,3143769.5130784335,299611.0207904478,0.09530311288535383,2394775.1293931124,4485204.083410219,3651644.133579662,3129699.9251006986,kgCO2eq/FU
alternative_design1,ecoinvent,gwp_biogenic,-22589.480283334786,3385.1228676682717,0.1498539508306271,-34136.98790279249,-12697.537808420942,-16797.65645008263,-22674.899934125242,kgCO2eq/FU
alternative_design1,ecoinvent,gwp_luluc,1181.1749775520616,114.48795002725832,0.09692717184420048,782.2455747547707,1615.8369139671042,1373.206882992593,1177.2252669188244,kgCO2eq/FU
alternative_design2,ecoinvent,gwp_total,4068121.9243746605,388663.8623045877,0.09553889227750516,3068741.327368293,5544448.106623018,4758072.351130709,4057323.607751441,kgCO2eq/FU
alternative_design2,ecoinvent,gwp_fossil,3997484.978782192,383755.6246449336,0.09599926620908587,2949924.4372158367,5307366.1222018665,4711718.936324552,3986278.7189872665,kgCO2eq/FU
alternative_design2,ecoinvent,gwp_biogenic,68060.53856554882,6466.488422727482,0.09501083240032893,48594.711794139825,93056.7692675276,79510.85920508688,67502.1403239441,kgCO2eq/FU
alternative_design2,ecoinvent,gwp_luluc,1202.1621852928902,80.48640619858277,0.06695137077446282,997.3842163355594,1467.0359608464785,1338.1332403753956,1200.4949441753708,kgCO2eq/FU
base_design,oekobaudat,gwp_total,2429132.0820888937,111140.70093807504,0.0457532555588749,2122143.7716959296,2883049.251209554,2615503.0105705583,2427824.9276821758,kgCO2eq/FU
base_design,oekobaudat,gwp_fossil,2415540.1714133983,108761.53285200856,0.045025760340954804,2113106.5563572473,2732884.0032122186,2603218.797501077,2414553.2783310637,kgCO2eq/FU
base_design,oekobaudat,gwp_biogenic,6174.175208025676,444.4818560809769,0.07199048311800492,4767.28694275034,7774.851330602533,6928.180029871987,6157.978988700446,kgCO2eq/FU
base_design,oekobaudat,gwp_luluc,2602.261003927533,170.8086276767999,0.06563854564127208,2162.66315491994,3276.7498898216422,2902.9823141756506,2592.690500858217,kgCO2eq/FU
alternative_design1,oekobaudat,gwp_total,1675769.560550909,90275.60192337987,0.053871131239370276,1404944.345702932,1966339.3949021078,1829371.2890271067,1675467.7843331897,kgCO2eq/FU
alternative_design1,oekobaudat,gwp_fossil,1666758.0729541369,91255.45055028227,0.05475026761894873,1382428.694569314,1960202.540634968,1822453.8218626354,1664539.9873773234,kgCO2eq/FU
alternative_design1,oekobaudat,gwp_biogenic,4237.344369115539,402.66885029739973,0.0950285875352276,3252.001617201473,5857.057492652242,4932.40925808177,4222.883128091027,kgCO2eq/FU
alternative_design1,oekobaudat,gwp_luluc,1647.891915484488,104.71085231247987,0.06354230597805584,1340.5219931421425,2003.3906960084028,1826.3192378109568,1645.8844216183115,kgCO2eq/FU
alternative_design2,oekobaudat,gwp_total,2989906.5640079994,188073.09433378078,0.06290266612267205,2338784.2300085574,3656023.891693184,3312563.446256995,2987126.1545585906,kgCO2eq/FU
alternative_design2,oekobaudat,gwp_fossil,2981652.8179520643,179606.35564419592,0.06023717938011233,2467111.0923856683,3558774.752797909,3283198.10275197,2978165.8726298907,kgCO2eq/FU
alternative_design2,oekobaudat,gwp_biogenic,4662.227043250444,286.530487323119,0.06145785794321885,3738.778518404627,5632.958401684827,5141.268917054523,4648.7652851257,kgCO2eq/FU
alternative_design2,oekobaudat,gwp_luluc,2181.352540510853,133.70338246050198,0.061293798218049554,1742.0413748181854,2653.2178543334544,2415.791452899972,2173.4303891660147,kgCO2eq/FU
base_design,EPD,gwp_total,1700545.7213814529,92785.34123482456,0.054562097371571756,1421932.8167885484,2096881.3477846223,1856824.090827457,1696612.4005621017,kgCO2eq/FU
base_design,EPD,gwp_fossil,1700415.5463946972,91876.54981178786,0.0540318218135496,1453871.8006896928,2250562.9399717203,1855151.2327282405,1693976.597557193,kgCO2eq/FU
base_design,EPD,gwp_biogenic,-2361.7943088435486,536.1177651383647,0.226995959441055,-4084.7436175168245,-826.9196711370053,-1472.6326617867892,-2371.9246528117455,kgCO2eq/FU
base_design,EPD,gwp_luluc,958.2314465610503,75.11136858660079,0.07838541393748273,716.8979954642658,1209.8542575693286,1090.3669855584874,955.2367295802029,kgCO2eq/FU
alternative_design1,EPD,gwp_total,1042014.6660061895,69075.07952809734,0.06628993024910748,839045.323766888,1323312.0679960079,1159176.0626134924,1041678.0791087507,kgCO2eq/FU
alternative_design1,EPD,gwp_fossil,1043556.1633476674,75016.37234159725,0.07188532345106284,823243.0493475305,1302827.189418329,1170455.8583467759,1036549.3715599892,kgCO2eq/FU
alternative_design1,EPD,gwp_biogenic,-3325.308325330552,485.2743112794761,0.14593362894589254,-5061.0016294400375,-1896.9669111886421,-2532.2316978165577,-3319.923494590099,kgCO2eq/FU
alternative_design1,EPD,gwp_luluc,635.7485729874724,49.781460267912976,0.07830369171570903,492.96443581987097,821.5335244814897,723.8149265259119,632.1284779872923,kgCO2eq/FU
alternative_design2,EPD,gwp_total,3139923.751137479,265056.59240671096,0.08441497737347624,2279464.6403695345,4401851.982120956,3596429.495041265,3127745.4976402586,kgCO2eq/FU
alternative_design2,EPD,gwp_fossil,3144372.0593768866,250502.2720024026,0.07966686742918207,2440529.84882733,4106545.8956626826,3576730.167548517,3128001.806887214,kgCO2eq/FU
alternative_design2,EPD,gwp_biogenic,1696.2736156216747,223.6297209577745,0.13183587771352293,1056.56324363048,2396.598889687129,2086.595093426474,1680.474573212421,kgCO2eq/FU
alternative_design2,EPD,gwp_luluc,757.6868771413747,58.95678208702977,0.07781153912743455,573.6632968928883,997.2860961412156,859.6370565407406,755.2606101183903,kgCO2eq/FU
